Title,DateText,Date,Link,Image,Summary,Source,Category,DateParsed,DateISO
Leviat Supports Talent and Quality at the ABC Awards 2026,2026-01-27T09:00:00Z,2026-01-27 09:00:00+00:00,https://www.ancon.co.uk/whats-new/leviat-supports-talent-and-quality-at-the-abc-awards-2026,"https://www.ancon.co.uk/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcHU4IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--33cb089b324127c83f82e0af1fdf31d5a95867bc/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDRG9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RTNKbGMybDZaVjkwYjE5bWFXeHNXd2RwQXRrQ2FRSUpBam9LYzJGMlpYSjdCam9NY1hWaGJHbDBlV2xhIiwiZXhwIjpudWxsLCJwdXIiOiJ2YXJpYXRpb24ifX0=--8ddff611cda408e3b5cce49d635bd32cc8c90dfb/Ancon%20Precis%20images%20(3).png,",,Ancon,,2026-01-27 09:00:00+00:00,2026-01-27
"Sharing knowledge, growing together – Mentoring at Peikko",19.01.2026,,https://www.peikko.com/news/sharing-knowledge-growing-together-mentoring-at-peikko/,https://media.peikko.com/file/dl/c=system_640x/5YXqoQ/UXyY2H0RMY6t2UG-7muJuw/Mentoring_at_Peikko_2280x870px_news_header.jpg?fv=8e4d,,Peikko,Stories,2026-01-19 00:00:00+00:00,2026-01-19
Collaborative excellence delivers Europe's tallest wooden office building,12.01.2026,,https://www.peikko.com/news/collaborative-excellence-delivers-europe-s-tallest-wooden-office-building/,https://media.peikko.com/file/dl/c=system_640x/u5jXRQ/ODPN4Ouxddj_28EWzCbyiw/Peikko_Keilaniemenportti_2280x870px_news_header.jpg?fv=3979,,Peikko,Stories,2026-01-12 00:00:00+00:00,2026-01-12
DYWIDAG completes sale of TAM Groupe to Private Assets as planned,01/09/2026,2026-01-09,https://dywidag.com/press/dywidag-completes-sale-of-tam-group,https://raw.githubusercontent.com/jumpbcc158/Logos/main/DYWIDAG_16x9.png,,Dywidag,,2026-01-09 00:00:00+00:00,2026-01-09
50 years of the Annahütte steelworks under the leadership of Max Aicher!,2026-01-09,2026-01-09,https://translate.google.com/translate?hl=en&sl=de&u=https%3A%2F%2Fwww.annahuette.com%2F50-jahre-stahlwerk-annahuette-unter-der-fuehrung-von-max-aicher%2F,https://www.annahuette.com/wp-content/uploads/2026/01/Aicher_Max-1-1024x683.jpg,,SAH Annahutte,,2026-01-09 00:00:00+00:00,2026-01-09
FPCA start date January 28 end date January 30,January 2026,January 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/Logo%20Test%202/FPCA.png?width=100&height=110&name=FPCA.png,FPCA,nmb splice sleeve,,2026-01-01 00:00:00+00:00,2026-01-01
G/C PCI start date January 14 end date January 16,January 2026,January 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/Logo%20Test%202/GeorgiaCarolinas%20PCI%20(GCPCI)%20Logo%20Size-05.png?width=100&height=110&name=GeorgiaCarolinas%20PCI%20(GCPCI)%20Logo%20Size-05.png,G/C PCI,nmb splice sleeve,,2026-01-01 00:00:00+00:00,2026-01-01
PCI Mountain States start date January 21 end date January 21,January 2026,January 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/Logo%20Test%202/PCI%20MS%20Logo%20-%20Event%20Pg-01.png?width=100&height=110&name=PCI%20MS%20Logo%20-%20Event%20Pg-01.png,PCI Mountain States,nmb splice sleeve,,2026-01-01 00:00:00+00:00,2026-01-01
PCI West start date January 21 end date January 21,January 2026,January 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/Logo%20Test%202/PCI_West_Logo_2019.png?width=79&height=110&name=PCI_West_Logo_2019.png,PCI West,nmb splice sleeve,,2026-01-01 00:00:00+00:00,2026-01-01
World of Concrete start date January 20 end date January 22,January 2026,January 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/WOC_Logo-Black-Yellow.jpg?width=222&height=60&name=WOC_Logo-Black-Yellow.jpg,World of Concrete,nmb splice sleeve,,2026-01-01 00:00:00+00:00,2026-01-01
